,r,p,y,ar,ap,ay,e,ae,Q,R
0,-0.0402,-0.5004,-0.4984,0.0,-0.5,-0.5,0.01406666666666665,0.042199999999999946,,
1,-0.0348,-0.5021,-0.4997,0.0,-0.5,-0.5,0.012400000000000003,0.03720000000000001,,
2,-0.0315,-0.4968,-0.4982,0.0,-0.5,-0.5,0.012166666666666668,0.036500000000000005,,
3,-0.0264,-0.5,-0.4971,0.0,-0.5,-0.5,0.009766666666666672,0.029300000000000014,,
4,-0.0207,-0.4962,-0.493,0.0,-0.5,-0.5,0.01050000000000001,0.03150000000000003,,
5,-0.0166,-0.4968,-0.4983,0.0,-0.5,-0.5,0.007166666666666654,0.02149999999999996,,
6,-0.0138,-0.5008,-0.4968,0.0,-0.5,-0.5,0.005933333333333335,0.017800000000000003,,
7,-0.0085,-0.5003,-0.4964,0.0,-0.5,-0.5,0.00413333333333332,0.01239999999999996,,
8,-0.0044,-0.4929,-0.3757,0.0,-0.5,-0.5,0.04526666666666668,0.13580000000000003,,
9,-0.0009,-0.5609,-0.6532,0.0,-0.5,-0.5,0.07166666666666666,0.21499999999999997,,
10,0.0055,-0.4952,-0.499,0.0,-0.5,-0.5,0.0037666666666666755,0.011300000000000027,,
11,0.0078,-0.4968,-0.4988,0.0,-0.5,-0.5,0.004066666666666653,0.01219999999999996,,
12,0.0132,-0.493,-0.4972,0.0,-0.5,-0.5,0.007666666666666677,0.02300000000000003,,
13,0.0174,-0.495,-0.504,0.0,-0.5,-0.5,0.008800000000000002,0.026400000000000007,,
14,0.024,-0.4955,-0.4961,0.0,-0.5,-0.5,0.010800000000000006,0.03240000000000002,,
15,0.0254,-0.4973,-0.5023,0.0,-0.5,-0.5,0.010133333333333315,0.030399999999999948,,
16,0.0294,-0.4858,-0.4978,0.0,-0.5,-0.5,0.015266666666666656,0.045799999999999966,,
17,0.0348,-0.4994,-0.4932,0.0,-0.5,-0.5,0.014066666666666653,0.04219999999999996,,
18,0.0388,-0.5066,-0.5048,0.0,-0.5,-0.5,0.01673333333333336,0.05020000000000008,,
19,0.0445,-0.4928,-0.4976,0.0,-0.5,-0.5,0.018033333333333332,0.054099999999999995,,
