,r,p,y,ar,ap,ay,e,ae,Q,R
0,-3.5488,-3.1675,-5.1164,0.0,-5.0,-5.0,1.8325666666666665,5.497699999999999,,
1,-3.2484,-3.4798,-5.047,0.0,-5.0,-5.0,1.6052,4.8156,,
2,-2.8701,-3.8853,-5.0783,0.0,-5.0,-5.0,1.3543666666666665,4.0630999999999995,,
3,-2.5132,-4.0656,-5.0722,0.0,-5.0,-5.0,1.1732666666666665,3.5197999999999996,,
4,-2.1213,-4.3318,-5.0574,0.0,-5.0,-5.0,0.9489666666666667,2.8469,,
5,-1.7153,-4.5418,-5.0513,0.0,-5.0,-5.0,0.7416,2.2248,,
6,-1.2982,-4.72,-5.0356,0.0,-5.0,-5.0,0.5379333333333333,1.6138,,
7,-0.8702,-4.8328,-5.0196,0.0,-5.0,-5.0,0.35233333333333333,1.057,,
8,-0.4378,-4.9386,-5.0034,0.0,-5.0,-5.0,0.1675333333333333,0.5025999999999999,,
9,-0.0029,-4.9992,-4.9817,0.0,-5.0,-5.0,0.0073333333333332985,0.021999999999999895,,
10,0.4353,-5.02,-4.9647,0.0,-5.0,-5.0,0.1635333333333333,0.4905999999999999,,
11,0.8731,-5.0021,-4.9454,0.0,-5.0,-5.0,0.3099333333333334,0.9298000000000002,,
12,1.2943,-4.9439,-4.9334,0.0,-5.0,-5.0,0.4723333333333333,1.417,,
13,1.7184,-4.8641,-4.9204,0.0,-5.0,-5.0,0.6446333333333335,1.9339000000000004,,
14,2.1151,-4.6899,-4.8817,0.0,-5.0,-5.0,0.8478333333333333,2.5435,,
15,2.5077,-4.554,-4.8846,0.0,-5.0,-5.0,1.0230333333333332,3.0690999999999997,,
16,2.8726,-4.3416,-4.8656,0.0,-5.0,-5.0,1.2218000000000002,3.6654000000000004,,
17,3.2184,-4.1035,-4.8606,0.0,-5.0,-5.0,1.4181,4.2543,,
18,3.5542,-3.8684,-4.8616,0.0,-5.0,-5.0,1.6080666666666668,4.8242,,
19,3.8367,-3.5028,-4.8355,0.0,-5.0,-5.0,1.8328,5.4984,,
