,r,p,y,ar,ap,ay,e,ae,Q,R
0,-4.9996,-0.0024,0.0016,-5.0,0.0,0.0,0.001466666666666652,0.004399999999999956,,
1,-5.0005,-0.0011,-0.0017,-5.0,0.0,0.0,0.0010999999999999077,0.003299999999999723,,
2,-4.9998,0.0081,0.0005,-5.0,0.0,0.0,0.002933333333333474,0.008800000000000422,,
3,-5.0001,0.0154,-0.0047,-5.0,0.0,0.0,0.006733333333333255,0.020199999999999767,,
4,-5.0013,-0.0014,-0.0054,-5.0,0.0,0.0,0.0026999999999998783,0.008099999999999635,,
5,-4.9994,-0.0039,0.0057,-5.0,0.0,0.0,0.0034000000000001264,0.010200000000000379,,
6,-4.9999,0.0077,-0.0046,-5.0,0.0,0.0,0.004133333333333255,0.012399999999999767,,
7,-5.0003,0.0071,0.005,-5.0,0.0,0.0,0.004133333333333396,0.012400000000000189,,
8,-4.9987,-0.0062,0.0058,-5.0,0.0,0.0,0.004433333333333212,0.013299999999999635,,
9,-5.0004,-0.0122,0.0003,-5.0,0.0,0.0,0.004299999999999985,0.012899999999999957,,
10,-4.9992,0.0049,0.0025,-5.0,0.0,0.0,0.0027333333333333042,0.008199999999999912,,
11,-5.0009,-0.0012,0.0015,-5.0,0.0,0.0,0.0011999999999998928,0.0035999999999996785,,
12,-5.0002,0.0031,-0.0009,-5.0,0.0,0.0,0.0014000000000001407,0.004200000000000422,,
13,-4.9999,-0.0003,-0.0022,-5.0,0.0,0.0,0.000866666666666589,0.002599999999999767,,
14,-4.9992,-0.0056,0.004,-5.0,0.0,0.0,0.0034666666666666375,0.010399999999999913,,
15,-5.0012,-0.0051,-0.005,-5.0,0.0,0.0,0.003766666666666623,0.01129999999999987,,
16,-5.0003,0.011,0.0039,-5.0,0.0,0.0,0.00506666666666673,0.015200000000000189,,
17,-4.9998,-0.0031,-0.0084,-5.0,0.0,0.0,0.0039000000000001408,0.011700000000000422,,
18,-5.0009,0.0102,0.0011,-5.0,0.0,0.0,0.00406666666666656,0.01219999999999968,,
19,-4.9993,-0.0003,-0.0023,-5.0,0.0,0.0,0.0011000000000000482,0.003300000000000145,,
