,r,p,y,ar,ap,ay,e,ae,Q,R
0,-8.6226,-5.8872,-1.3333,-5.0,-5.0,-5.0,2.7255000000000003,8.1765,,
1,-8.3024,-5.9692,-1.6598,-5.0,-5.0,-5.0,2.537266666666667,7.611800000000001,,
2,-7.9475,-6.0576,-1.9884,-5.0,-5.0,-5.0,2.3389,7.0167,,
3,-7.5645,-6.1108,-2.3425,-5.0,-5.0,-5.0,2.1109333333333336,6.332800000000001,,
4,-7.1666,-6.0841,-2.752,-5.0,-5.0,-5.0,1.8329000000000002,5.4987,,
5,-6.7518,-5.9968,-3.1977,-5.0,-5.0,-5.0,1.5169666666666668,4.5509,,
6,-6.3203,-5.8584,-3.6516,-5.0,-5.0,-5.0,1.1756999999999997,3.527099999999999,,
7,-5.8822,-5.6496,-4.1106,-5.0,-5.0,-5.0,0.8070666666666669,2.4212000000000007,,
8,-5.4395,-5.3633,-4.5534,-5.0,-5.0,-5.0,0.41646666666666654,1.2493999999999996,,
9,-5.0008,-4.9963,-4.9803,-5.0,-5.0,-5.0,0.008066666666666814,0.024200000000000443,,
10,-4.5672,-4.5538,-5.3783,-5.0,-5.0,-5.0,0.41910000000000025,1.2573000000000008,,
11,-4.1424,-4.0612,-5.7303,-5.0,-5.0,-5.0,0.8422333333333331,2.526699999999999,,
12,-3.7276,-3.5086,-6.036,-5.0,-5.0,-5.0,1.2666,3.7998,,
13,-3.3292,-2.8853,-6.2531,-5.0,-5.0,-5.0,1.6795333333333333,5.0386,,
14,-2.9559,-2.207,-6.4208,-5.0,-5.0,-5.0,2.0859666666666663,6.257899999999999,,
15,-2.5972,-1.4974,-6.4883,-5.0,-5.0,-5.0,2.464566666666667,7.3937,,
16,-2.2602,-0.7362,-6.4811,-5.0,-5.0,-5.0,2.8282333333333334,8.4847,,
17,-1.9488,0.0021,-6.3694,-5.0,-5.0,-5.0,3.1409,9.422699999999999,,
18,-1.6585,0.7414,-6.1557,-5.0,-5.0,-5.0,3.412866666666666,10.238599999999998,,
19,-1.3716,1.4644,-5.8267,-5.0,-5.0,-5.0,3.6398333333333333,10.9195,,
