,r,p,y,ar,ap,ay,e,ae,Q,R
0,-1.0,-0.0108,-0.0023,-1.0,0.0,0.0,0.004366666666666667,0.0131,,
1,-0.9996,-0.014,0.0005,-1.0,0.0,0.0,0.004966666666666652,0.014899999999999957,,
2,-0.9988,0.0064,-0.0021,-1.0,0.0,0.0,0.0032333333333333263,0.00969999999999998,,
3,-0.9984,-0.0046,0.0047,-1.0,0.0,0.0,0.003633333333333348,0.010900000000000045,,
4,-0.9993,0.0001,0.002,-1.0,0.0,0.0,0.0009333333333333447,0.0028000000000000342,,
5,-0.9988,-0.0146,-0.0003,-1.0,0.0,0.0,0.005366666666666661,0.016099999999999982,,
6,-1.0006,-0.0179,-0.0055,-1.0,0.0,0.0,0.007999999999999978,0.02399999999999993,,
7,-0.9992,-0.0008,0.0028,-1.0,0.0,0.0,0.0014666666666666743,0.004400000000000023,,
8,-1.4641,-0.0073,0.0001,-1.0,0.0,0.0,0.15716666666666665,0.4714999999999999,,
9,-1.1591,-0.006,-0.0003,-1.0,0.0,0.0,0.05513333333333334,0.16540000000000002,,
10,-0.9992,0.0086,0.0024,-1.0,0.0,0.0,0.003933333333333341,0.011800000000000022,,
11,-0.9999,-0.0038,-0.0034,-1.0,0.0,0.0,0.0024333333333333295,0.007299999999999989,,
12,-0.9999,-0.0033,0.002,-1.0,0.0,0.0,0.0017999999999999963,0.005399999999999989,,
13,-0.999,-0.0095,0.0039,-1.0,0.0,0.0,0.0048,0.0144,,
14,-0.9991,-0.0036,0.006,-1.0,0.0,0.0,0.0035000000000000044,0.010500000000000013,,
15,-1.0008,0.0043,0.0019,-1.0,0.0,0.0,0.002333333333333304,0.006999999999999912,,
16,-0.9998,-0.005,0.0038,-1.0,0.0,0.0,0.0029999999999999927,0.008999999999999979,,
17,-0.9987,-0.0082,-0.0005,-1.0,0.0,0.0,0.003333333333333323,0.009999999999999969,,
18,-1.0014,0.0096,-0.0002,-1.0,0.0,0.0,0.003733333333333356,0.011200000000000068,,
19,-0.9994,-0.0002,-0.0053,-1.0,0.0,0.0,0.0020333333333333484,0.006100000000000045,,
