,r,p,y,ar,ap,ay,e,ae,Q,R
0,-0.0019,-0.9902,-0.0058,0.0,-1.0,0.0,0.005833333333333343,0.01750000000000003,,
1,-0.0019,-1.0002,-0.0028,0.0,-1.0,0.0,0.0016333333333333258,0.004899999999999977,,
2,-0.003,-0.9962,-0.0034,0.0,-1.0,0.0,0.0034000000000000085,0.010200000000000025,,
3,-0.0009,-1.0032,0.0013,0.0,-1.0,0.0,0.0018000000000000305,0.005400000000000091,,
4,-0.0011,-1.0,-0.0045,0.0,-1.0,0.0,0.0018666666666666666,0.0056,,
5,-0.0007,-0.9986,-0.0002,0.0,-1.0,0.0,0.0007666666666666524,0.002299999999999957,,
6,-0.0001,-0.9978,0.003,0.0,-1.0,0.0,0.00176666666666666,0.00529999999999998,,
7,0.0005,-1.0059,0.0012,0.0,-1.0,0.0,0.002533333333333339,0.0076000000000000165,,
8,-0.0011,-1.0054,-0.002,0.0,-1.0,0.0,0.0028333333333333574,0.008500000000000072,,
9,0.0004,-1.005,0.0,0.0,-1.0,0.0,0.0017999999999999646,0.005399999999999894,,
10,-0.0014,-1.029,-0.0088,0.0,-1.0,0.0,0.013066666666666638,0.039199999999999915,,
11,-0.0004,-1.0056,-0.0002,0.0,-1.0,0.0,0.0020666666666666832,0.006200000000000049,,
12,-0.0016,-0.9924,-0.002,0.0,-1.0,0.0,0.0037333333333333506,0.011200000000000052,,
13,0.0001,-1.0084,-0.0025,0.0,-1.0,0.0,0.0036666666666666545,0.010999999999999963,,
14,-0.0007,-0.9922,0.0039,0.0,-1.0,0.0,0.004133333333333343,0.012400000000000029,,
15,-0.003,-0.9939,-0.0039,0.0,-1.0,0.0,0.004333333333333331,0.012999999999999994,,
16,-0.0005,-1.0006,0.0038,0.0,-1.0,0.0,0.0016333333333333113,0.004899999999999934,,
17,-0.0042,-1.0104,0.0064,0.0,-1.0,0.0,0.006999999999999988,0.020999999999999963,,
18,-0.0002,-0.9998,-0.0027,0.0,-1.0,0.0,0.001033333333333326,0.003099999999999978,,
19,-0.0004,-0.9944,-0.0036,0.0,-1.0,0.0,0.0032000000000000166,0.00960000000000005,,
