,r,p,y,ar,ap,ay,e,ae,Q,R
0,-1.9998,0.0076,-0.0032,-2.0,0.0,0.0,0.0036666666666666597,0.010999999999999979,,
1,-1.9994,-0.0014,-0.0004,-2.0,0.0,0.0,0.0007999999999999781,0.0023999999999999343,,
2,-2.0011,-0.0062,0.0049,-2.0,0.0,0.0,0.0040666666666667,0.0122000000000001,,
3,-2.0004,0.0045,0.0015,-2.0,0.0,0.0,0.0021333333333333187,0.006399999999999956,,
4,-2.0012,-0.0041,-0.0019,-2.0,0.0,0.0,0.002399999999999956,0.007199999999999868,,
5,-1.9998,-0.0028,0.0026,-2.0,0.0,0.0,0.0018666666666666595,0.005599999999999978,,
6,-2.0003,-0.0056,-0.0036,-2.0,0.0,0.0,0.0031666666666667295,0.009500000000000189,,
7,-1.9998,-0.0071,-0.0003,-2.0,0.0,0.0,0.0025333333333333262,0.007599999999999978,,
8,-2.0002,0.0027,-0.0016,-2.0,0.0,0.0,0.0014999999999999927,0.004499999999999978,,
9,-2.0016,-0.0025,-0.003,-2.0,0.0,0.0,0.002366666666666608,0.007099999999999824,,
10,-1.999,0.0004,-0.0025,-2.0,0.0,0.0,0.0012999999999999633,0.0038999999999998897,,
11,-2.0003,-0.0036,0.0015,-2.0,0.0,0.0,0.001800000000000063,0.005400000000000189,,
12,-2.0004,0.0075,-0.0004,-2.0,0.0,0.0,0.0027666666666666517,0.008299999999999955,,
13,-1.9992,-0.0076,0.0007,-2.0,0.0,0.0,0.0030333333333333033,0.00909999999999991,,
14,-2.0001,0.0063,-0.0017,-2.0,0.0,0.0,0.0027000000000000704,0.008100000000000211,,
15,-1.9999,0.0042,0.0018,-2.0,0.0,0.0,0.0020333333333333297,0.006099999999999989,,
16,-2.0011,0.0018,0.003,-2.0,0.0,0.0,0.0019666666666667003,0.005900000000000101,,
17,-2.0002,0.0034,0.0018,-2.0,0.0,0.0,0.0017999999999999926,0.005399999999999978,,
18,-2.0002,0.0013,-0.0018,-2.0,0.0,0.0,0.0010999999999999927,0.003299999999999978,,
19,-2.0003,0.0065,0.0038,-2.0,0.0,0.0,0.0035333333333333965,0.010600000000000189,,
