,r,p,y,ar,ap,ay,e,ae,Q,R
0,0.0031,0.0021,-1.9894,0.0,0.0,-2.0,0.005266666666666648,0.015799999999999943,,
1,0.0022,-0.0103,-1.9904,0.0,0.0,-2.0,0.0073666666666666845,0.022100000000000054,,
2,0.0017,0.003,-1.991,0.0,0.0,-2.0,0.004566666666666632,0.013699999999999896,,
3,0.002,0.008,-1.9946,0.0,0.0,-2.0,0.005133333333333357,0.015400000000000072,,
4,0.0012,0.0015,-1.9913,0.0,0.0,-2.0,0.003799999999999977,0.011399999999999931,,
5,0.0002,-0.0023,-1.9917,0.0,0.0,-2.0,0.0035999999999999917,0.010799999999999975,,
6,0.0016,0.0054,-1.9913,0.0,0.0,-2.0,0.0052333333333333095,0.01569999999999993,,
7,0.0013,0.0035,-1.989,0.0,0.0,-2.0,0.005266666666666632,0.015799999999999897,,
8,0.0008,-0.0064,-1.9946,0.0,0.0,-2.0,0.004200000000000024,0.012600000000000073,,
9,0.0004,0.0082,-1.987,0.0,0.0,-2.0,0.007199999999999967,0.0215999999999999,,
10,-0.0005,0.0049,-1.9926,0.0,0.0,-2.0,0.004266666666666691,0.012800000000000073,,
11,-0.0003,-0.0075,-1.992,0.0,0.0,-2.0,0.0052666666666666695,0.01580000000000001,,
12,0.0024,0.0079,-1.9883,0.0,0.0,-2.0,0.007333333333333348,0.022000000000000044,,
13,-0.0011,0.0068,-1.9924,0.0,0.0,-2.0,0.005166666666666683,0.01550000000000005,,
14,0.0028,0.0002,-1.9963,0.0,0.0,-2.0,0.0022333333333333454,0.006700000000000037,,
15,-0.0018,0.0118,-1.9926,0.0,0.0,-2.0,0.007000000000000024,0.021000000000000074,,
16,-0.0004,-0.0014,-1.9935,0.0,0.0,-2.0,0.00276666666666665,0.00829999999999995,,
17,0.0003,-0.0015,-1.991,0.0,0.0,-2.0,0.0035999999999999656,0.010799999999999896,,
18,0.002,0.0043,-1.993,0.0,0.0,-2.0,0.004433333333333299,0.013299999999999895,,
19,0.0022,-0.0108,-1.9936,0.0,0.0,-2.0,0.006466666666666654,0.019399999999999962,,
