,r,p,y,ar,ap,ay,e,ae,Q,R
0,0.0051,0.0204,-4.9816,0.0,0.0,-5.0,0.01463333333333325,0.04389999999999975,,
1,0.0063,-0.0079,-4.9819,0.0,0.0,-5.0,0.010766666666666522,0.032299999999999565,,
2,0.005,0.0158,-4.9806,0.0,0.0,-5.0,0.013400000000000028,0.04020000000000008,,
3,0.0004,-0.0035,-4.9767,0.0,0.0,-5.0,0.009066666666666626,0.027199999999999877,,
4,0.0032,0.0055,-4.9914,0.0,0.0,-5.0,0.005766666666666795,0.017300000000000385,,
5,0.003,-0.0088,-4.9809,0.0,0.0,-5.0,0.010299999999999965,0.030899999999999896,,
6,0.0026,0.0046,-4.9817,0.0,0.0,-5.0,0.008499999999999994,0.02549999999999998,,
7,0.0028,-0.0025,-4.981,0.0,0.0,-5.0,0.008100000000000043,0.024300000000000127,,
8,0.0032,-0.003,-4.9823,0.0,0.0,-5.0,0.007966666666666535,0.023899999999999606,,
9,0.0016,0.0019,-4.9796,0.0,0.0,-5.0,0.007966666666666806,0.023900000000000417,,
10,0.0022,0.0048,-4.981,0.0,0.0,-5.0,0.00866666666666671,0.026000000000000127,,
11,0.0047,0.0002,-4.985,0.0,0.0,-5.0,0.006633333333333227,0.019899999999999682,,
12,0.0013,0.0066,-4.9819,0.0,0.0,-5.0,0.00866666666666652,0.02599999999999956,,
13,0.0068,-0.0087,-4.9818,0.0,0.0,-5.0,0.011233333333333406,0.033700000000000216,,
14,0.0032,0.0022,-4.9788,0.0,0.0,-5.0,0.008866666666666778,0.02660000000000033,,
15,0.004,0.0077,-4.9773,0.0,0.0,-5.0,0.011466666666666797,0.03440000000000039,,
16,0.0013,0.0079,-4.9795,0.0,0.0,-5.0,0.009900000000000062,0.029700000000000185,,
17,0.0028,-0.0031,-4.9807,0.0,0.0,-5.0,0.008400000000000105,0.025200000000000316,,
18,0.0133,0.0007,-4.9756,0.0,0.0,-5.0,0.012799999999999992,0.038399999999999976,,
19,0.0022,0.0024,-4.9748,0.0,0.0,-5.0,0.009933333333333296,0.02979999999999989,,
