,r,p,y,ar,ap,ay,e,ae,Q,R
0,-0.001,-0.5005,-0.001,0.0,-0.5,0.0,0.000833333333333315,0.002499999999999945,,
1,-0.0011,-0.4924,0.0003,0.0,-0.5,0.0,0.0029999999999999988,0.008999999999999996,,
2,-0.0013,-0.4976,-0.0028,0.0,-0.5,0.0,0.002166666666666671,0.006500000000000013,,
3,-0.0003,-0.4942,0.001,0.0,-0.5,0.0,0.0023666666666666758,0.007100000000000027,,
4,0.0,-0.496,0.0048,0.0,-0.5,0.0,0.0029333333333333342,0.008800000000000002,,
5,-0.0011,-0.4952,-0.0033,0.0,-0.5,0.0,0.003066666666666676,0.009200000000000028,,
6,-0.0001,-0.4938,0.0008,0.0,-0.5,0.0,0.0023666666666666615,0.007099999999999984,,
7,-0.0002,-0.504,-0.0028,0.0,-0.5,0.0,0.0023333333333333344,0.007000000000000003,,
8,-0.0014,-0.4785,-0.0006,0.0,-0.5,0.0,0.00783333333333334,0.023500000000000017,,
9,-0.0003,-0.5096,0.0031,0.0,-0.5,0.0,0.004333333333333351,0.013000000000000053,,
10,0.0002,-0.5572,0.0026,0.0,-0.5,0.0,0.020000000000000007,0.060000000000000026,,
11,-0.0021,-0.4918,-0.008,0.0,-0.5,0.0,0.006099999999999994,0.018299999999999983,,
12,-0.0003,-0.4998,-0.0021,0.0,-0.5,0.0,0.0008666666666666593,0.0025999999999999778,,
13,-0.0002,-0.4984,-0.003,0.0,-0.5,0.0,0.0015999999999999966,0.00479999999999999,,
14,-0.0009,-0.4981,0.0054,0.0,-0.5,0.0,0.0027333333333333376,0.008200000000000013,,
15,-0.0006,-0.4953,0.0003,0.0,-0.5,0.0,0.0018666666666666606,0.005599999999999982,,
16,0.0,-0.5032,0.004,0.0,-0.5,0.0,0.0023999999999999937,0.007199999999999981,,
17,0.0015,-0.4945,-0.0016,0.0,-0.5,0.0,0.0028666666666666684,0.008600000000000005,,
18,0.0005,-0.5015,0.0066,0.0,-0.5,0.0,0.002866666666666649,0.008599999999999946,,
19,-0.001,-0.5036,-0.002,0.0,-0.5,0.0,0.0022000000000000157,0.006600000000000048,,
