,r,p,y,ar,ap,ay,e,ae,Q,R
0,-0.6181,-1.8818,-2.0026,0.0,-2.0,-2.0,0.24630000000000007,0.7389000000000002,,
1,-0.553,-1.8962,-2.0053,0.0,-2.0,-2.0,0.2207,0.6621,,
2,-0.4842,-1.9192,-2.0027,0.0,-2.0,-2.0,0.18923333333333328,0.5676999999999999,,
3,-0.4169,-1.9442,-2.0006,0.0,-2.0,-2.0,0.15776666666666667,0.4733,,
4,-0.348,-1.9572,-1.9911,0.0,-2.0,-2.0,0.1332333333333333,0.39969999999999983,,
5,-0.2771,-1.9716,-1.999,0.0,-2.0,-2.0,0.10216666666666663,0.3064999999999999,,
6,-0.2087,-1.985,-1.9968,0.0,-2.0,-2.0,0.07563333333333333,0.2269,,
7,-0.1397,-1.9976,-1.996,0.0,-2.0,-2.0,0.048699999999999986,0.14609999999999995,,
8,-0.0702,-1.9913,-1.9961,0.0,-2.0,-2.0,0.027599999999999982,0.08279999999999994,,
9,-0.0025,-1.9978,-1.988,0.0,-2.0,-2.0,0.005566666666666664,0.016699999999999993,,
10,0.0706,-1.996,-1.9922,0.0,-2.0,-2.0,0.027466666666666677,0.08240000000000003,,
11,0.1394,-1.9944,-1.9872,0.0,-2.0,-2.0,0.05259999999999999,0.15779999999999997,,
12,0.2098,-1.9982,-1.9965,0.0,-2.0,-2.0,0.07170000000000003,0.21510000000000007,,
13,0.2767,-1.9862,-1.9877,0.0,-2.0,-2.0,0.10093333333333333,0.3028,,
14,0.3478,-1.979,-1.9914,0.0,-2.0,-2.0,0.12579999999999994,0.37739999999999985,,
15,0.4155,-1.9696,-1.9922,0.0,-2.0,-2.0,0.15123333333333333,0.4537,,
16,0.4866,-1.9711,-1.9893,0.0,-2.0,-2.0,0.17539999999999992,0.5261999999999998,,
17,0.5514,-1.9442,-1.9818,0.0,-2.0,-2.0,0.2084666666666667,0.6254000000000001,,
18,0.6185,-1.9216,-1.9776,0.0,-2.0,-2.0,0.23976666666666668,0.7193,,
19,0.6856,-1.9102,-1.9786,0.0,-2.0,-2.0,0.26560000000000006,0.7968000000000002,,
