,r,p,y,ar,ap,ay,e,ae,Q,R
0,-2.6258,-2.4086,-1.3211,-2.0,-2.0,-2.0,0.5710999999999999,1.7132999999999998,,
1,-2.5584,-2.3739,-1.4126,-2.0,-2.0,-2.0,0.5065666666666665,1.5196999999999996,,
2,-2.4872,-2.3513,-1.4765,-2.0,-2.0,-2.0,0.4540000000000001,1.3620000000000003,,
3,-2.4206,-2.3097,-1.5571,-2.0,-2.0,-2.0,0.3910666666666666,1.1731999999999998,,
4,-2.3506,-2.2662,-1.6344,-2.0,-2.0,-2.0,0.32746666666666663,0.9823999999999999,,
5,-2.28,-2.2278,-1.7058,-2.0,-2.0,-2.0,0.2673333333333332,0.8019999999999996,,
6,-2.21,-2.1756,-1.777,-2.0,-2.0,-2.0,0.20286666666666675,0.6086000000000003,,
7,-2.139,-2.1213,-1.8509,-2.0,-2.0,-2.0,0.13646666666666665,0.4094,,
8,-2.0721,-2.0674,-1.9224,-2.0,-2.0,-2.0,0.07236666666666662,0.21709999999999985,,
9,-2.0011,-1.9919,-1.9916,-2.0,-2.0,-2.0,0.005866666666666687,0.01760000000000006,,
10,-1.9296,-1.9243,-2.0635,-2.0,-2.0,-2.0,0.06986666666666667,0.2096,,
11,-1.8602,-1.859,-2.1184,-2.0,-2.0,-2.0,0.13306666666666658,0.3991999999999998,,
12,-1.7919,-1.7712,-2.1851,-2.0,-2.0,-2.0,0.20733333333333323,0.6219999999999997,,
13,-1.7219,-1.693,-2.2457,-2.0,-2.0,-2.0,0.27693333333333325,0.8307999999999998,,
14,-1.6535,-1.61,-2.2985,-2.0,-2.0,-2.0,0.34500000000000003,1.0350000000000001,,
15,-1.5844,-1.5039,-2.3606,-2.0,-2.0,-2.0,0.4240999999999999,1.2722999999999998,,
16,-1.5203,-1.4219,-2.4084,-2.0,-2.0,-2.0,0.4887333333333333,1.4662,,
17,-1.4522,-1.3167,-2.4435,-2.0,-2.0,-2.0,0.5581999999999999,1.6745999999999999,,
18,-1.3874,-1.2196,-2.4799,-2.0,-2.0,-2.0,0.6243000000000001,1.8729000000000002,,
19,-1.3251,-1.0997,-2.5079,-2.0,-2.0,-2.0,0.6943666666666667,2.0831,,
