,r,p,y,ar,ap,ay,e,ae,Q,R
0,-0.0018,-1.9934,-0.0006,0.0,-2.0,0.0,0.0029999999999999797,0.008999999999999939,,
1,-0.0017,-2.005,-0.0031,0.0,-2.0,0.0,0.0032666666666666313,0.009799999999999894,,
2,-0.0007,-1.9957,0.0023,0.0,-2.0,0.0,0.0024333333333333234,0.007299999999999971,,
3,-0.0023,-1.9949,-0.0019,0.0,-2.0,0.0,0.003100000000000035,0.009300000000000105,,
4,-0.0017,-2.0038,0.0028,0.0,-2.0,0.0,0.0027666666666666755,0.008300000000000026,,
5,-0.0037,-1.9857,0.0038,0.0,-2.0,0.0,0.007266666666666661,0.021799999999999983,,
6,-0.0039,-1.995,0.0048,0.0,-2.0,0.0,0.004566666666666631,0.013699999999999893,,
7,-0.0013,-1.9962,-0.0019,0.0,-2.0,0.0,0.0023333333333333418,0.007000000000000025,,
8,-0.0014,-1.9973,-0.0005,0.0,-2.0,0.0,0.0015333333333333084,0.004599999999999925,,
9,-0.0009,-2.1459,0.0013,0.0,-2.0,0.0,0.04936666666666672,0.14810000000000015,,
10,-0.0016,-2.089,-0.0006,0.0,-2.0,0.0,0.030399999999999993,0.09119999999999998,,
11,-0.0011,-1.9922,-0.0077,0.0,-2.0,0.0,0.005533333333333344,0.01660000000000003,,
12,-0.0007,-1.9886,-0.0029,0.0,-2.0,0.0,0.005000000000000025,0.015000000000000076,,
13,-0.0031,-2.004,0.0016,0.0,-2.0,0.0,0.0029000000000000015,0.008700000000000005,,
14,0.0013,-1.994,-0.003,0.0,-2.0,0.0,0.003433333333333335,0.010300000000000005,,
15,-0.0006,-2.0078,-0.0018,0.0,-2.0,0.0,0.0034000000000000094,0.010200000000000028,,
16,0.0003,-2.0034,-0.006,0.0,-2.0,0.0,0.0032333333333333567,0.00970000000000007,,
17,-0.002,-2.009,0.0075,0.0,-2.0,0.0,0.006166666666666633,0.0184999999999999,,
18,-0.0022,-1.9944,0.0011,0.0,-2.0,0.0,0.0029666666666666834,0.00890000000000005,,
19,-0.002,-1.999,-0.001,0.0,-2.0,0.0,0.0013333333333332966,0.00399999999999989,,
