,r,p,y,ar,ap,ay,e,ae,Q,R
0,-0.5404,-0.535,-0.4502,-0.5,-0.5,-0.5,0.041733333333333344,0.12520000000000003,,
1,-0.534,-0.5322,-0.463,-0.5,-0.5,-0.5,0.03440000000000001,0.10320000000000001,,
2,-0.531,-0.5296,-0.4652,-0.5,-0.5,-0.5,0.031799999999999995,0.09539999999999998,,
3,-0.528,-0.5194,-0.473,-0.5,-0.5,-0.5,0.024800000000000006,0.07440000000000002,,
4,-0.522,-0.5235,-0.4706,-0.5,-0.5,-0.5,0.024966666666666654,0.07489999999999997,,
5,-0.5184,-0.5143,-0.4846,-0.5,-0.5,-0.5,0.016033333333333327,0.048099999999999976,,
6,-0.5134,-0.5007,-0.4859,-0.5,-0.5,-0.5,0.0094,0.028200000000000003,,
7,-0.5085,-0.5079,-0.49,-0.5,-0.5,-0.5,0.008799999999999994,0.02639999999999998,,
8,-0.5037,-0.5013,-0.5726,-0.5,-0.5,-0.5,0.025866666666666666,0.0776,,
9,-0.5005,-0.4965,-0.5865,-0.5,-0.5,-0.5,0.030166666666666658,0.09049999999999997,,
10,-0.4948,-0.4936,-0.5061,-0.5,-0.5,-0.5,0.005899999999999998,0.017699999999999994,,
11,-0.4906,-0.4878,-0.5034,-0.5,-0.5,-0.5,0.008333333333333323,0.024999999999999967,,
12,-0.4863,-0.4832,-0.5112,-0.5,-0.5,-0.5,0.013899999999999987,0.04169999999999996,,
13,-0.4826,-0.4783,-0.5152,-0.5,-0.5,-0.5,0.018100000000000005,0.054300000000000015,,
14,-0.4779,-0.477,-0.5167,-0.5,-0.5,-0.5,0.020600000000000025,0.06180000000000008,,
15,-0.4734,-0.4667,-0.5262,-0.5,-0.5,-0.5,0.028700000000000003,0.08610000000000001,,
16,-0.4696,-0.4583,-0.5232,-0.5,-0.5,-0.5,0.031766666666666665,0.0953,,
17,-0.4659,-0.4552,-0.5292,-0.5,-0.5,-0.5,0.03603333333333334,0.10810000000000003,,
18,-0.4606,-0.4502,-0.5369,-0.5,-0.5,-0.5,0.042033333333333346,0.12610000000000005,,
19,-0.4546,-0.4432,-0.5377,-0.5,-0.5,-0.5,0.046633333333333325,0.13989999999999997,,
